publication_id	publication_title	publication_location	publication_type	life_span	first_year	last_year	total_issues
2	Aydınlık Sosyalist Dergi	Ankara	monthly	4 years	1968	1971	29
1	Aylık Ant Dergisi	İstanbul	monthly	2 years	1970	1971	13
16	Devrimci TİP Haberleri	İstanbul	monthly	1 year	1969	1969	5
26	Durum						0
7	DİSK Gazetesi	İstanbul	monthly	2 years	1967	1968	5
8	DİSK Gazetesi (2)	Ankara	monthly	1 year	1970	1970	4
27	Ekmek	İstanbul	bi-weekly				0
28	Emek	Ankara	weekly				0
43	Emek (2)	Ankara	monthly				0
20	Ezilenler	Tunceli	bi-weekly	2 years	1968	1969	8
22	FKF Mektubu	Ankara	weekly	1 year	1968	1968	2
21	Fakirin Dostu	İstanbul	bi-weekly	1 year	1969	1969	4
29	Gençlik	Ankara	monthly				0
4	Haftalık Ant Dergisi	İstanbul	weekly	4 years	1967	1970	174
13	Haşhaş	Ören	bi-weekly	1 year	1968	1968	5
32	Kardaş	London		1 year	1970	1970	16
33	Katkı	İstanbul	monthly				0
10	Kavga	Ankara	bi-weekly	1 year	1967	1967	7
25	Kimya-İş	İstanbul	weekly				0
36	Kurtuluş	Ankara	monthly				0
6	Kurtuluş Yolu	İstanbul	bi-weekly	3 years	1968	1970	17
34	Köylü	Ankara	bi-weekly				0
35	Köylü Birliği	Ankara	bi-weekly				0
38	Parti Gazetesi	Ankara					0
39	Partizan	İstanbul					0
11	Proleter	Adana	monthly	3 years	1967	1969	13
3	Proleter Devrimci Aydınlık	Ankara	monthly	2 years	1970	1971	26
14	Sosyalist	İstanbul	bi-weekly	5 years	1967	1971	26
40	Sosyalist Parti	Ankara					0
15	Sömürücüye Yumruk	Zonguldak	bi-weekly	5 years	1967	1971	34
19	Tekstil Gazetesi	İstanbul	bi-weekly	4 years	1968	1971	57
23	Tüm	Ankara	weekly	2 years	1968	1969	4
5	Türk Solu	Ankara	weekly	4 years	1967	1970	126
41	Türkiye Defteri	İstanbul					0
42	Türkiye Solu	İstanbul					0
17	TİP Haberleri	Ankara	bi-weekly	3 years	1967	1969	32
12	Yeni Gerçek	İstanbul	monthly	2 years	1967	1968	9
37	Öncü İşçi	Ankara					0
24	Örgüt	İstanbul	bi-weekly	1 year	1968	1968	0
9	İleri	Ankara	monthly	2 years	1968	1969	6
18	İstanbul Tekstil İşçilerinin Sesi	İstanbul	bi-weekly	2 years	1967	1968	21
30	İşçi Birliği	Ankara	bi-weekly				0
31	İşçi Köylü	İstanbul	bi-weekly				0
