publication_title	publication_type	life_span	first_year	last_year	total_issues
Aydınlık Sosyalist Dergi	monthly	4 years	1968	1971	29
Aylık Ant Dergisi	monthly	2 years	1970	1971	13
Haftalık Ant Dergisi	weekly	4 years	1967	1970	173
Proleter Devrimci Aydınlık	monthly	2 years	1970	1971	26
Türk Solu	weekly	4 years	1967	1970	126
